Gene,T-stat,p-value,p-adj,-log10(p),-log10(p-adj),log2FC,Gene_clean,query,symbol
ENSG00000237472.1,-3.384051396145716,0.002555349013236,,2.5925497749144326,,-2.165020473572996,ENSG00000237472,ENSG00000237472,ATP5PFP2
ENSG00000255003.1,-2.9374230316788847,0.0073982021267038,,2.13087380747413,,-1.1083819167363096,ENSG00000255003,ENSG00000255003,CYCSP28
ENSG00000100060.17,-2.914729944348241,0.0077999280786621,,2.1079094018203106,,-1.1937413169804805,ENSG00000100060,ENSG00000100060,MFNG
ENSG00000227682.2,-2.863144388406194,0.0087919536390687,,2.055914610660736,,-1.5800287723186002,ENSG00000227682,ENSG00000227682,ATP5F1AP2
ENSG00000254433.1,-2.809679040714397,0.0099462517008548,,2.002340554664501,,-1.874704557089592,ENSG00000254433,ENSG00000254433,AASDHPPT-AS1
ENSG00000126768.12,-2.7073044374463664,0.0125687927475882,,1.9007064349822944,,-1.5219201545103935,ENSG00000126768,ENSG00000126768,TIMM17B
ENSG00000170516.16,-2.616365160053548,0.0154333297864572,,1.811540363510924,,-1.5954277921738935,ENSG00000170516,ENSG00000170516,COX7B2
ENSG00000173915.13,-2.571810424855206,0.0170505746952371,,1.768260978386203,,-1.3056689032625737,ENSG00000173915,ENSG00000173915,ATP5MK
ENSG00000198695.2,-2.564958075502248,0.0173129339098069,,1.7616293288392282,,-0.1624911098750687,ENSG00000198695,ENSG00000198695,MT-ND6
ENSG00000113845.9,-2.4962464608320976,0.0201602943958947,,1.6955031302831054,,-0.7892884142092268,ENSG00000113845,ENSG00000113845,TIMMDC1
ENSG00000210196.2,-2.4433958969391445,0.0226404060722279,,1.645115788025007,,-0.4543271222806857,ENSG00000210196,ENSG00000210196,MT-TP
ENSG00000210117.1,-2.421578088021407,0.0237443816112237,,1.624439136519121,,-0.8010151871369344,ENSG00000210117,ENSG00000210117,MT-TW
ENSG00000137806.8,-2.349868885348487,0.0277326306882992,,1.5570089317484137,,-0.8439399415037573,ENSG00000137806,ENSG00000137806,NDUFAF1
ENSG00000232851.3,-2.338876737262622,0.0283957974990971,,1.5467459296009296,,-1.8383934412980785,ENSG00000232851,ENSG00000232851,ATP5MFP3
ENSG00000231445.1,-2.2964401403225363,0.0310948331317386,,1.5073117694553635,,-1.5080268944886266,ENSG00000231445,ENSG00000231445,TIMM8AP1
ENSG00000102385.12,-2.2779936033962893,0.0323396573427452,,1.4902645860048591,,-0.8788487320383951,ENSG00000102385,ENSG00000102385,DRP2
ENSG00000269383.2,-2.0881720072554946,0.0480474722532236,,1.3183294553492968,,-0.5965893311578344,ENSG00000269383,ENSG00000269383,CYCSP7
ENSG00000210144.1,-2.071719875297495,0.0496889855641142,,1.3037398695938636,,-0.6662986276259433,ENSG00000210144,ENSG00000210144,MT-TY
ENSG00000233664.1,-2.0508157676517387,0.0518469015167013,,1.2852771928797169,,-1.3601528525368185,ENSG00000233664,ENSG00000233664,NDUFS5P3
ENSG00000234853.2,-2.03257609540421,0.0537976249630181,,1.2692368969771712,,-0.7103548118851032,ENSG00000234853,ENSG00000234853,NDUFA5P3
ENSG00000210135.1,-1.9994318001587748,0.0575100593956706,,1.2402561838681296,,-0.6245997592556892,ENSG00000210135,ENSG00000210135,MT-TN
ENSG00000127184.11,-1.995515318964545,0.0579634122008567,,1.2368460563205317,,-0.7993870264987099,ENSG00000127184,ENSG00000127184,COX7C
ENSG00000179091.4,1.9811371720824276,0.0596550080788752,,1.2243530911433067,,0.6334809721646183,ENSG00000179091,ENSG00000179091,CYC1
ENSG00000231162.4,-1.9729232244593071,0.0606408501064681,,1.2172347190851005,,-1.358436425669734,ENSG00000231162,ENSG00000231162,COX11P1
ENSG00000271423.1,-1.90875883690752,0.0688492161715967,,1.162100999695918,,-0.9979531370605526,ENSG00000271423,ENSG00000271423,CYCSP1
ENSG00000254944.1,-1.8694728357600536,0.0743421013255036,,1.128765167464489,,-1.1944963690486063,ENSG00000254944,ENSG00000254944,ATP5PBP5
ENSG00000159186.4,-1.8242944557237728,0.081127115018954,,1.090833967799126,,-0.8763859569081393,ENSG00000159186,ENSG00000159186,ATP5POP1
ENSG00000228847.1,-1.8131502729531952,0.0828810083793996,,1.081544973683002,,-1.2671195833748852,ENSG00000228847,ENSG00000228847,ATP5MC2P4
ENSG00000128609.14,-1.8109286879207325,0.0832345351525555,,1.0796964415670938,,-0.5933745840266986,ENSG00000128609,ENSG00000128609,NDUFA5
ENSG00000259918.1,-1.756092623054665,0.0923822375799726,,1.0344115229634028,,-1.075357151160462,ENSG00000259918,ENSG00000259918,NDUFA5P11
ENSG00000236736.1,-1.7470462511581384,0.0939712986378359,,1.027004771363773,,-1.0009730656945928,ENSG00000236736,ENSG00000236736,UQCRC2P1
ENSG00000220831.4,-1.7339657401410664,0.096310261767076,,1.016327436744806,,-0.9733403490386124,ENSG00000220831,ENSG00000220831,NDUFA5P9
ENSG00000249928.2,-1.7319124485080393,0.096681889981286,,1.0146548683965697,,-0.7973638601667346,ENSG00000249928,ENSG00000249928,UQCRBP3
