Gene,T-stat,p-value,p-adj,-log10(p),-log10(p-adj),log2FC,Gene_clean,query,symbol
ENSG00000121691.4,-2.6088471013545753,0.01569573662139074,,1.8042182974791843,,-0.5765376214803538,ENSG00000121691,ENSG00000121691,CAT
ENSG00000229598.1,-2.5761519305731735,0.0168862776720696,,1.7724660736168598,,-1.8570787884288258,ENSG00000229598,ENSG00000229598,PRDX3P1
ENSG00000074771.3,-2.469842125629999,0.021366002512267033,,1.6702767248766883,,-0.8939080853691957,ENSG00000074771,ENSG00000074771,NOX3
ENSG00000086991.12,-2.252265373610714,0.034151898487808065,,1.4665851490875228,,-0.5970368560047584,ENSG00000086991,ENSG00000086991,NOX4
ENSG00000176454.13,-2.1787825201199458,0.03984822023130388,,1.3995910710303479,,-0.6627606888802934,ENSG00000176454,ENSG00000176454,LPCAT4
ENSG00000280997.1,2.1785059795347363,0.039871193199099,,1.3993407672964588,,0.5558094636393655,ENSG00000280997,ENSG00000280997,CCAT2
ENSG00000213398.7,-2.177163347319081,0.0399828995538362,,1.3981257141056143,,-0.7599648383400345,ENSG00000213398,ENSG00000213398,LCAT
ENSG00000166762.16,-1.9686902306495435,0.061154493174098885,,1.2135716287498555,,-0.46782368566644916,ENSG00000166762,ENSG00000166762,CATSPER2
ENSG00000214121.4,-1.891699950705205,0.0711891762096878,,1.1475860326235667,,-1.0842963828205283,ENSG00000214121,ENSG00000214121,PRDX1P1
ENSG00000165675.16,-1.8215051799795796,0.08156305760989392,,1.0885065018956825,,-0.5026786371004808,ENSG00000165675,ENSG00000165675,ENOX2
ENSG00000205771.6,-1.7602343977950055,0.09166241476648243,,1.0378087058306553,,-0.47094021203480974,ENSG00000205771,ENSG00000205771,CATSPER2P1
ENSG00000255346.9,1.7521479627804522,0.09307229621401863,,1.0311795713479568,,0.5132451501200863,ENSG00000255346,ENSG00000255346,NOX5
ENSG00000256482.1,-1.739395224470131,0.09533343751122622,,1.0207547470046827,,-1.5446847433492505,ENSG00000256482,ENSG00000256482,BCAT1-AS1
ENSG00000211445.11,-1.731708874929875,0.09671880158881035,,1.014489093315514,,-0.7351179656178307,ENSG00000211445,ENSG00000211445,GPX3
ENSG00000007952.17,-1.70933278962171,0.10084985454391053,,0.9963247238351778,,-0.6472654514164876,ENSG00000007952,ENSG00000007952,NOX1
